,number,name,code
1529,AMES409S,Discourse of Disease and Infection,[]
1530,AMES410S,Trauma and Space in Asia,[]
1531,AMES413S,Vampire Chronicles: Fantasies of Vampirism in a Cross-Cultural Perspective,[]
1532,AMES415K,Interethnic Intimacies: Producing and Consuming,[]
1533,AMES415S,Interethnic Intimacies: Production and Consumption,[]
1534,AMES419,The New Middle East,[]
1535,AMES421S,"Hashtags Memes, Digital Tribes",[]
1536,AMES422S,Middle East Women Writers,[]
1537,AMES423S,Sex and Violence in Modern Arabic Literature,[]
1538,AMES425S,Cultures of New Media,[]
1539,AMES427S,Capstone Seminar: Palestine and Arab-Israeli Conflict,[]
1540,AMES429,Revolution: The Arab World,[]
1541,AMES431,Modern Chinese Cinema,[]
1542,AMES437S,Capstone Seminar: Globalization and Development: China and India,[]
1543,AMES439,Queer China,[]
1544,AMES440S,"Games and Culture: Politics, Pleasure and Pedagogy",[]
1545,AMES450S,Human Rights in Islam,[]
1546,AMES455S,"World of Gaming: Art, Theory, Technology, and Business of a Multi-Billion Dollar Global Industry",[]
1547,AMES463S,Nightmare Japan,[]
1548,AMES469S,Minor Japan,[]
1549,AMES471,World of Korean Cinema,[]
1550,AMES473,Trauma and Passion in Korean Culture,[]
1551,AMES475S,"North Korea: Politics, Economics and Culture",[]
1552,AMES476S,Archiving and Visualizing Asia ,[]
1553,AMES482,Arabian Nights in the West,[]
1554,AMES485S,Global Tibet,[]
1555,AMES490S,Special Topics,[]
1556,AMES493,Research Independent Study,[]
1557,AMES494A,Research Independent Study on Contemporary China,[]
1558,AMES495,Collaborative Research Projects,[]
1559,AMES498S,Senior Honors Thesis Seminar,[]
1560,AMES499S,Senior Honors Thesis Seminar,[]
1561,AMES502S,Translation Studies and Workshop,[]
1562,AMES503,Asian & Middle Eastern Studies,[]
1563,AMES503S,Asian & Middle Eastern Studies,[]
1564,AMES504S,East Asia’s Twentieth Century,[]
1565,AMES505S,Seminar in Asian and Middle Eastern Cultural Studies,[]
1566,AMES511,Documentary and East Asian Cultures,[]
1567,AMES515S,Interethnic Intimacies: Production and Consumption,[]
1568,AMES518S , Approaches and Practices in Second Language Pedagogy   ,[]
1569,AMES519S,"Andalusia: Muslim, Jewish, Christian Spain",[]
1570,AMES526A,Religion and Civil Society in the Arab World,[]
1571,AMES529A,Gender Jihad: Muslim Women Writers,[]
1572,AMES531S,Culture and Environment in Modern Chinese History,[]
1573,AMES532S,Research and Writing About Contemporary Chinese Culture,[]
1574,AMES533,Traffic in Women: Cultural Perspectives on Prostitution in Modern China,[]
1575,AMES539S,Queer China,[]
1576,AMES540S,Reading Heidegger,[]
1577,AMES541S,Jews and the End of Theory,[]
1578,AMES551S,Translation: Theory/Praxis,[]
1579,AMES555,Contemporary Culture in South Asia,[]
1580,AMES561,"Anime: Origins, Forms, Mutations",[]
1581,AMES563S,Nightmare Japan,[]
1582,AMES565,The World of Japanese Pop Culture,[]
1583,AMES565S,The World of Japanese Pop Culture,[]
1584,AMES566S,Imaging a Nation: Japanese Visual Culture 1868-1945,[]
1585,AMES576S ,Archiving and Visualizing Asia: Politics of Poetics of Knowledge Production,[]
1586,AMES590,Special Topics in Asian and Middle Eastern Studies,[]
1587,AMES593,Research Independent Study,[]
1588,AMES603,The Palestinian-Israeli Conflict in Literature and Film,[]
1589,AMES605,East Asian Cultural Studies,[]
1590,AMES610S,Trauma and Space in Asia,[]
1591,AMES611,Melodrama East and West,[]
1592,AMES620S,Critical Genealogies of the Middle East: An examination of the canon of Middle East scholarship,[]
1593,AMES622S,Arab Women Writers,[]
1594,AMES623,Arabic Culture and 9/11,[]
1595,AMES625,Islamic Awakening: Revival and Reform,[]
1596,AMES629,Revolution: The Arab World,[]
1597,AMES629S,Muslim Networks Across Time and Space,[]
1598,AMES631,Modern Chinese Cinema,[]
1599,AMES631S,Seminar on Modern Chinese Cinema,[]
1600,AMES632S,Literati/Literature Culture: Pre-Modern Chinese Literature,[]
1601,AMES650S,Human Rights in Islam,[]
1602,AMES661,Japanese Cinema,[]
1603,AMES665,"Girl Culture, Media, and Japan",[]
1604,AMES669S,Minor Japan,[]
1605,AMES671,World of Korean Cinema,[]
1606,AMES673,Trauma and Passion in Korean Culture,[]
1607,AMES674S,Orhan Pamuk and World Literature,[]
1608,AMES682,Arabian Nights in the West,[]
1609,AMES683S,The City of Two Continents: Istanbul in Literature and Film,[]
1610,AMES687,The Turks: From Ottoman Empire to European Union,[]
1611,AMES690S,Special Topics in Asian and Middle Eastern Studies,[]
1612,AMES695,Collaborative Research Projects,[]
1613,AMES709,Chinese Im/migration: Chinese Migrant Labor and Immigration to the U.S.,[]
1614,AMES720,Professionalization Workshop in Middle East Studies,[]
1615,AMES738,Theories of Minority Discourse,[]
1616,AMES750,CAH Proseminar: Topics in Critical Asian Studies,[]
1617,ARABIC101,Elementary Arabic,[]
1618,ARABIC102,Elementary Arabic,[]
1619,ARABIC203,Intermediate Arabic,[]
1620,ARABIC204,Intermediate Arabic,[]
1621,ARABIC205A,Dardasha Masriyyah: Egyptian Dialect,[]
1622,ARABIC281,Media Arabic I: Arabic in Media and Documentary Film,[]
1623,ARABIC283,Media Arabic II,[]
1624,ARABIC287,Levantine Arabic: Dardasha Shamiyyah,[]
1625,ARABIC288,Conversational Egyptian Arabic,[]
1626,ARABIC290A,Duke Administered Study Abroad: Special Topics in Arabic,[]
1627,ARABIC295,Arabic Dialect in Music,[]
1628,ARABIC296A,Dardashaat Arabiyyah: Arabic Language and Culture of Egypt and Morocco,[]
1629,ARABIC305,Advanced Arabic,[]
1630,ARABIC306,Advanced Arabic,[]
1631,ARABIC328S,Literary Islam,[]
1632,ARABIC391,Independent Study,[]
1633,ARABIC407,Issues in Arabic Language and Literature I,[]
1634,ARABIC408,Issues in Arabic Language and Literature II,[]
1635,ARABIC489,Classical Arabic Language & Literature,[]
1636,ARABIC501S,Translation as a Research Tool in Arabic and Islamic Studies,[]
1637,ARABIC690,Special Readings,[]
1638,ARABIC789,Classical Arabic Language & Literature,[]
1639,ARABIC791,Independent Study,[]
1640,CHINESE101,First-Year Chinese I,[]
1641,CHINESE101A,First-Year Chinese,[]
1642,CHINESE101DK,First-Year Chinese I,[]
1643,CHINESE102,First-Year Chinese II,[]
1644,CHINESE102DK,First-Year Chinese II,[]
1645,CHINESE105,First-Year Chinese in Review I,[]
1646,CHINESE105,Chinese 105 First Year Chinese in Review,[]
1647,CHINESE106,First-Year Chinese in Review II,[]
1648,CHINESE131,First Year Chinese for Heritage Learners,[]
1649,CHINESE  331D,Modern Chinese Society and Culture through New Media,[]
1650,Chinese 321S, Business and Interculturality in the Chinese Society,[]
1651,CHINESE203,Intermediate Chinese,[]
1652,CHINESE203DK,Intermediate Chinese,[]
1653,CHINESE204,intermediate Chinese,[]
1654,CHINESE204DK,Intermediate Chinese,[]
1655,CHINESE205,Intermediate-Mid Chinese,[]
1656,CHINESE223A,Intensive Progress in Chinese,[]
1657,CHINESE224A,Intensive Progress in Chinese,[]
1658,CHINESE232,Intermediate Chinese for Heritage Learners II,[]
1659,CHINESE242,Intensive Literacy in Chinese,[]
1660,CHINESE305,Advanced Intermediate Chinese,[]
1661,CHINESE305K,Advanced Intermediate Chinese,[]
1662,CHINESE306,Advanced Chinese II,[]
1663,CHINESE306K,Advanced Chinese II,[]
1664,CHINESE325A,Advanced Progress in Chinese,[]
1665,CHINESE326A,Advanced Progress in Chinese,[]
1666,CHINESE332,Chinese Translation and Interpretation,[]
1667,CHINESE333,Advanced Chinese for Heritage Learners,[]
1668,CHINESE334,Issues in Modern Chinese,[]
1669,CHINESE371S,Classical Chinese in the Modern Context I,[]
1670,CHINESE391,Independent Study,[]
1671,Chinese 450S,"CHN450S: Understanding China and the U.S.: Stereotypes, Conflicts, and Common Challenges",[]
1672,CHINESE407K,Issues in Chinese Language and Society I,[]
1673,CHINESE407S,Issues in Chinese Language and Society I,[]
1674,CHINESE408S,Issues in Chinese Language and Society II,[]
1675,CHINESE427A,Intensive Advanced Chinese,[]
1676,CHINESE428A,Intensive Advanced Chinese,[]
1677,CHINESE435S,Chinese in the Humanities I,[]
1678,CHINESE436S,Chinese in the Humanities II,[]
1679,CHINESE455,Modern Chinese Culture: Narratives of Home and Abroad,[]
1680,CHINESE456,Aspects of Chinese Culture and Society,[]
1681,CHINESE473A,Current Issues in Modern Chinese I,[]
1682,CHINESE474A,Current Issues in Modern Chinese II,[]
1683,CHINESE791,Independent Study,[]
1684,HEBREW101,Elementary Modern Hebrew,[]
1685,HEBREW102,Elementary Modern Hebrew,[]
1686,HEBREW171,Biblical Hebrew I,[]
1687,HEBREW172,Biblical Hebrew II,[]
1688,HEBREW203,Intermediate Modern Hebrew,[]
1689,HEBREW204,Intermediate Modern Hebrew,[]
1690,HEBREW305S,Advanced Modern Hebrew,[]
1691,HEBREW306S,Advanced Modern Hebrew,[]
1692,HEBREW391,Independent Study,[]
1693,HEBREW407S,Issues in Modern Hebrew,[]
1694,HEBREW791,Independent Study,[]
1695,HINDI101,Elementary Hindi,[]
1696,HINDI102,Elementary Hindi,[]
1697,HINDI123A,Intensive Elementary Hindi,[]
1698,HINDI203,Intermediate Hindi,[]
1699,HINDI204,Intermediate Hindi,[]
1700,HINDI225A,Intensive Intermediate Hindi,[]
1701,HINDI270T-4,Voices in Global Health: Hindi Tutorial,[]
1702,HINDI305,Advanced Hindi,[]
1703,HINDI306,Advanced Hindi,[]
1704,HINDI391,Independent Study,[]
1705,HINDI407S,Issues in Hindi Language and Society II,[]
1706,HINDI408S,Issues in Hindi Language and Society II,[]
1707,HINDI791,Independent Study,[]
1708,JPN101,Elementary Japanese,[]
1709,JPN102,Elementary Japanese,[]
1710,JPN203,Intermediate Japanese,[]
1711,JPN204,Intermediate Japanese,[]
1712,JPN305,Advanced Japanese,[]
1713,JPN306,Advanced Japanese,[]
1714,JPN391,Independent Study,[]
1715,JPN407S,Issues in Japanese Language and Society I,[]
1716,JPN408S,Issues in Japanese Language and Society II,[]
1717,JPN451S,Readings in Japanese Texts,[]
1718,JPN471S,Topics in Classical Japanese (Bungo),[]
1719,JPN472S,Classical Japanese (Kanbun),[]
1720,JPN650,Research Methods in Japanese (B),[]
1721,JPN771S,Topics in Classical Japanese (Bungo),[]
1722,JPN772S,Classical Japanese (Kanbun),[]
1723,JPN791,Independent Study,[]
1724,KOREAN101,Elementary Korean,[]
1725,KOREAN102,Elementary Korean,[]
1726,KOREAN203,Intermediate Korean,[]
1727,KOREAN204,Intermediate Korean,[]
1728,KOREAN305,Advanced Korean,[]
1729,KOREAN306S,Advanced Korean,[]
1730,KOREAN391,Independent Study,[]
1731,KOREAN407S,Issues in Korean Language and Society I,[]
1732,KOREAN408S,Issues in Korean Language and Society II,[]
1733,KOREAN455S,Korean Politics and Society: Academic Reading and Writing,[]
1734,KOREAN791,Independent Study,[]
1735,PERSIAN101,Elementary Persian,[]
1736,PERSIAN102,Elementary Persian,[]
1737,PERSIAN203,Intermediate Persian,[]
1738,PERSIAN204,Intermediate Persian,[]
1739,PERSIAN305,Advanced Persian,[]
1740,PERSIAN391,Independent Study,[]
1741,PERSIAN490AS,Duke-Administered Study Abroad: Advanced Special Topics in Persian,[]
1742,TIBETAN101,Elementary Tibetan I,[]
1743,TIBETAN102,Elementary Tibetan II,[]
1744,TIBETAN203,Intermediate Tibetan I,[]
1745,TIBETAN204,Intermediate Tibetan II,[]
1746,TIBETAN701,Elementary Tibetan I,[]
1747,TIBETAN702,Elementary Tibetan II,[]
1748,TIBETAN703,Intermediate Tibetan I,[]
1749,TIBETAN704,Intermediate Tibetan II,[]
1750,TURKISH101,Elementary Turkish,[]
1751,TURKISH112,Accelerated Turkish Language and Culture I,[]
1752,TURKISH203,Intermediate Turkish,[]
1753,TURKISH203T,Intermediate Turkish Tutorial,[]
1754,TURKISH204,Intermediate Turkish,[]
1755,TURKISH209S,Geopolitics and Culture: from the Islamic State to Afghanistan ,[]
1756,TURKISH213,Accelerated Turkish Language and Culture II,[]
1757,TURKISH232A,The Cognitive Science of Religion and Morality,[]
1758,TURKISH301S,Contemporary Turkish Composition and Readings,[]
1759,TURKISH302S,Contemporary Turkish Composition and Readings,[]
1760,TURKISH307S,The City of Two Continents: Istanbul in Literature and Film,[]
1761,TURKISH433,The New Middle East,[]
1762,TURKISH690S,Special Topics in Turkish Studies,[]
1763,URDU 101,The Urdu Script,[]
1764, 102.01 ,Elementary Turkish,[]
1765,102.01,Elementary Persian ,[]
1766,AMES252S  , Indigenous Journeys in South Asian Film and Literature ,[]
1767,AMES476S,Archiving and Visualizing Asia ,[]
1768,AMES518S , Approaches and Practices in Second Language Pedagogy   ,[]
1769,BIOLOGY20,General Biology,[]
1770,BIOLOGY21,General Biology,[]
1771,BIOLOGY89S,First-Year Seminar,[]
1772,BIOLOGY128FS,Evolutionary Genomics,"['NS', 'STS']"
1773,BIOLOGY148FS,Genomics of Host-Microbe Interactions: The Symbiotic Web,"['NS', 'R', 'STS']"
1774,BIOLOGY153,Ecosystem Health and Human Well-Being,"['NS', 'STS']"
1775,BIOLOGY154,AIDS and Other Emerging Diseases,"['NS', 'STS']"
1776,BIOLOGY156,"Genetics, Genomics, and Society: Implications for the 21st Century","['EI', 'NS', 'SS', 'STS']"
1777,BIOLOGY157,The Dynamic Oceans,"['NS', 'STS']"
1778,BIOLOGY158,Plants and Human Use,"['NS', 'STS']"
1779,BIOLOGY175LA,Marine Biology,"['EI', 'NS', 'STS']"
1780,BIOLOGY180FS,Global Diseases,"['NS', 'STS']"
1781,BIOLOGY190FS,Focus Program Topics in Biology,['NS']
1782,BIOLOGY190S,Topics in Modern Biology,['NS']
1783,BIOLOGY201L,Gateway to Biology: Molecular Biology,"['NS', 'STS']"
1784,BIOLOGY201LA,Gateway to Biology: Molecular Biology,"['NS', 'STS']"
1785,BIOLOGY202L,Gateway to Biology: Genetics and Evolution,"['NS', 'STS']"
1786,BIOLOGY202LA,Gateway to Biology: Genetics and Evolution,"['NS', 'STS']"
1787,BIOLOGY203L,"Gateway to Biology: Molecular Biology, Genetics & Evolution ","['NS', 'STS']"
1788,BIOLOGY205,Marine Megafauna,"['NS', 'STS']"
1789,BIOLOGY207,Organismal Evolution,['NS']
1790,BIOLOGY209(D)-1,Ecology of Human Health,"['NS', 'STS']"
1791,BIOLOGY209D-2,Ecology for a Crowded Planet,"['NS', 'STS']"
1792,BIOLOGY209S-1,Ecology of Human Health,"['NS', 'STS', 'W']"
1793,BIOLOGY212L,General Microbiology,['NS']
1794,BIOLOGY213D,Cell Signaling and Diseases,['NS']
1795,BIOLOGY215,Introduction to Mathematical Modeling in Biology,"['NS', 'QS', 'R']"
1796,BIOLOGY215L,Introduction to Modeling in Mathematical Biology,"['NS', 'QS', 'R']"
1797,BIOLOGY218,Biological Clocks: How Organisms Keep Time ,['NS']
1798,BIOLOGY220,Cell Biology,['NS']
1799,BIOLOGY221D,Developmental Biology,['NS']
1800,BIOLOGY223,Cellular and Molecular Neurobiology,['NS']
1801,BIOLOGY224D,Fundamentals of Neuroscience (B),"['NS', 'STS']"
1802,BIOLOGY250,Population Genetics,['NS']
1803,BIOLOGY251L,Molecular Evolution,"['NS', 'QS', 'R']"
1804,BIOLOGY255,Philosophy of Biology,"['CZ', 'NS', 'R', 'STS']"
1805,BIOLOGY260S,Genetics of Human Variation,"['CCI', 'NS', 'STS']"
1806,BIOLOGY261D,"Race, Genomics, and Society","['EI', 'NS', 'SS', 'STS']"
1807,BIOLOGY262,"People, Plants and Pollution: Introduction to Urban Environments","['NS', 'STS']"
1808,BIOLOGY263,Biological Responses to Climate Change,"['NS', 'W']"
1809,BIOLOGY267D,Behavioral Ecology,"['NS', 'R', 'STS', 'W']"
1810,BIOLOGY268D,Mechanisms of Animal Behavior,['NS']
1811,BIOLOGY270A,Conservation Biology and Policy,"['EI', 'NS', 'STS']"
1812,BIOLOGY272A,Analysis of Ocean Ecosystems,['NS']
1813,BIOLOGY273LA,Marine Ecology,"['NS', 'R', 'W']"
1814,BIOLOGY275A,Biology for Engineers: Informing Engineering Decisions,"['NS', 'STS']"
1815,BIOLOGY278LA,Physiology of Marine Animals,"['NS', 'R', 'W']"
1816,BIOLOGY279LA,Sound in the Sea: Introduction to Marine Bioacoustics,"['NS', 'R', 'STS']"
1817,BIOLOGY287A,Biodiversity of Alaska,"['NS', 'STS']"
1818,BIOLOGY288A,Biogeography in an Australian Context,"['NS', 'STS']"
1819,BIOLOGY290,Topics in Biology,['NS']
1820,BIOLOGY290S,Seminar in Biology,['NS']
1821,BIOLOGY290S Sp17 Topics in Herpetology,Topics in Herpetology,['NS']
1822,BIOLOGY293,Research Independent Study,['R']
1823,BIOLOGY293-1,Research Independent Study,['R']
1824,BIOLOGY293A,Research Independent Study,['R']
1825,BIOLOGY293A-1,Research Independent Study,['R']
1826,BIOLOGY304,Biological Data Analysis,"['NS', 'QS']"
1827,BIOLOGY308A,Oceans and Health,"['CCI', 'NS', 'STS']"
1828,BIOLOGY310,Primate Evolutionary Genetics,"['NS', 'R']"
1829,BIOLOGY311,Systems Biology: An Introduction for the Quantitative Sciences,['NS']
1830,BIOLOGY318,Human Evolutionary Genetics,['NS']
1831,BIOLOGY319A,Coastal Watershed Science and Policy,"['NS', 'STS']"
1832,BIOLOGY321,Primate Sexuality,"['NS', 'STS']"
1833,BIOLOGY321(D),Primate Sexuality,"['NS', 'STS']"
1834,BIOLOGY322,From Neurons to Brain,['NS']
1835,BIOLOGY325,Genome Technologies,"['NS', 'STS']"
1836,BIOLOGY326S,Evolutionary Genomics,"['NS', 'STS']"
1837,BIOLOGY329D,Principles of Animal Physiology,['NS']
1838,BIOLOGY329L,Principles of Animal Physiology,"['NS', 'R', 'W']"
1839,BIOLOGY330L,Comparative and Functional Anatomy of the Vertebrates,['NS']
1840,BIOLOGY335LA,Drones in Marine Science,"['NS', 'STS']"
1841,BIOLOGY341L,Plant Communities of North Carolina,['NS']
1842,BIOLOGY342L,Plant Systematics and Evolution,"['NS', 'STS']"
1843,BIOLOGY344S,Plant Diversity: a Field Approach,['NS']
1844,BIOLOGY345,Dinosaurs with Feathers and Whales with Legs: Major Evolutionary Transitions in the Fossil Record,"['NS', 'STS']"
1845,BIOLOGY346,Symbiosis: From Organelles to Microbiomes,"['NS', 'R', 'STS']"
1846,BIOLOGY347L,Plants and People,"['NS', 'STS']"
1847,BIOLOGY348LS,Herpetology,['NS']
1848,BIOLOGY350,Complex Traits and Evolutionary Genetics,['NS']
1849,BIOLOGY361LS,Field Ecology,"['NS', 'R', 'W']"
1850,BIOLOGY364L,Advanced Experimental Physics,['NS']
1851,BIOLOGY368A,Deep-Sea Science and Environmental Management,"['NS', 'R', 'STS']"
1852,BIOLOGY369LA,Biological Oceanography,"['NS', 'R']"
1853,BIOLOGY372LA,Biochemistry of Marine Animals,"['NS', 'R', 'W']"
1854,BIOLOGY373LA,Sensory Physiology and Behavior of Marine Animals,"['NS', 'R', 'W']"
1855,BIOLOGY374LA,Marine Molecular Ecology,"['NS', 'R', 'STS']"
1856,BIOLOGY375A,Biology and Conservation of Sea Turtles,"['NS', 'STS']"
1857,BIOLOGY375LA,Biology and Conservation of Sea Turtles,"['NS', 'STS']"
1858,BIOLOGY376A,Marine Mammals,"['NS', 'STS']"
1859,BIOLOGY376LA,Marine Mammals,"['NS', 'R', 'STS']"
1860,BIOLOGY377LA,Marine Invertebrate Zoology,"['NS', 'R']"
1861,BIOLOGY379LA,Research Methods in Marine Science,"['NS', 'R', 'W']"
1862,BIOLOGY380LA,Marine Molecular Microbiology,['NS']
1863,BIOLOGY384A,Marine Conservation Biology - a Practicum,"['NS', 'STS']"
1864,BIOLOGY385L,Integrative Neurosci Lab,"['NS', 'R', 'W']"
1865,BIOLOGY412S,Sensory Signal Transduction,"['NS', 'R']"
1866,BIOLOGY414LS,Experiments in Developmental and Molecular Genetics,"['NS', 'R']"
1867,BIOLOGY415S,Developmental and Stem Cell Biology Colloquium,['NS']
1868,BIOLOGY417S,Genetic Engineering and Biotechnology,"['NS', 'STS']"
1869,BIOLOGY418,Introduction to Biophysics,"['NS', 'QS']"
1870,BIOLOGY420,Cancer Genetics,"['NS', 'R']"
1871,BIOLOGY421S,Biology of Nervous System Diseases,['NS']
1872,BIOLOGY422LS,Neurodegenrative Disease Lab,"['NS', 'R']"
1873,BIOLOGY425,Biophysics II,"['NS', 'QS']"
1874,BIOLOGY427S,Current Topics in Sensory Biology,['NS']
1875,BIOLOGY429S,How Organisms Move,['NS']
1876,BIOLOGY432S,Host-Pathogen Interactions,['NS']
1877,BIOLOGY445A,Climate Change in the Marine Environment,"['EI', 'NS', 'STS']"
1878,BIOLOGY450S,Genomics of Adaptation: A Modern Look at Evolution,['NS']
1879,BIOLOGY452S,Genes & Development,['NS']
1880,BIOLOGY453S,Gene-Environment Interaction: Genes in an Ecological Context,['NS']
1881,BIOLOGY454S,Physiological Genetics of Disease,"['NS', 'QS', 'R']"
1882,BIOLOGY490,Topics in Biology,['NS']
1883,BIOLOGY490S,Special Topics Seminar,['NS']
1884,BIOLOGY490S Fall 2016 Extreme Animal Adaptations,Extreme Animal Adaptations,['NS']
1885,BIOLOGY490S Spring 2019 Evolutionary Developmental Bio,"Evolutionary Developmental Biology: Evolving Forms, Patterns, & Processes ",['NS']
1886,BIOLOGY490T,Tutorial,[]
1887,BIOLOGY490T-1,Tutorial,[]
1888,BIOLOGY490TA,Tutorial (Topics),[]
1889,BIOLOGY490TA-1,Tutorial (Topics),[]
1890,BIOLOGY493,Research Independent Study,['R']
1891,BIOLOGY493A,Research Independent Study,[]
1892,BIOLOGY495,Scientific Argument in Writing,['W']
1893,BIOLOGY505,Functional Ecology of Plants,['NS']
1894,BIOLOGY515,Principles of Immunology,"['NS', 'R']"
1895,BIOLOGY522S,Origins of Cellular Life,['NS']
1896,BIOLOGY540L,Mycology,['NS']
1897,BIOLOGY546LS,Biology of Mammals,['NS']
1898,BIOLOGY547L,Entomology,['NS']
1899,BIOLOGY555S,Problems in the Philosophy of Biology,"['NS', 'STS']"
1900,BIOLOGY556,Systematic Biology,['NS']
1901,BIOLOGY556L,Systematic Biology,['NS']
1902,BIOLOGY557L,Microbial Ecology and Evolution,"['NS', 'R']"
1903,BIOLOGY559S,Foundations of Behavioral Ecology,['NS']
1904,BIOLOGY561,Tropical Ecology,"['NS', 'STS']"
1905,BIOLOGY563S,"Stormwater Science: Pollution, Pavement, and Precipitation",['NS']
1906,BIOLOGY564(D),Biogeochemistry,"['NS', 'STS']"
1907,BIOLOGY565L,Biodiversity Science and Application,"['NS', 'R']"
1908,BIOLOGY566S,Readings in Plant Ecophysiology,"['NS', 'R']"
1909,BIOLOGY570LA-1,Experimental Tropical Marine Ecology,"['NS', 'R']"
1910,BIOLOGY570LA-2,Marine Ecology of the Pacific,"['NS', 'STS']"
1911,BIOLOGY571A,Sojourn in Singapore: Urban Tropical Ecology,"['CCI', 'NS', 'SS', 'STS']"
1912,BIOLOGY588S,Macroevolution,['NS']
1913,BIOLOGY590,Topics in Biology,['NS']
1914,BIOLOGY590S,Seminar (Topics),['NS']
1915,BIOLOGY627,Molecular Ecology,"['NS', 'STS']"
1916,BIOLOGY650,Molecular Population Genetics,['NS']
1917,BIOLOGY651S,Speciation,['NS']
1918,BIOLOGY652S,The Life and Work of Darwin,['NS']
1919,BIOLOGY660,Coalenscence and Evolution,['NS']
1920,BIOLOGY665,Bayesian Inference for Environmental Models,['NS']
1921,BIOLOGY668,Population Ecology,['NS']
1922,BIOLOGY669,Simulating Ecological and Evolutionary Systems,['NS']
1923,BIOLOGY678,Population Ecology for a Changing Planet,"['NS', 'STS']"
1924,BIOLOGY701,Succeeding in Graduate School in the Biological Sciences,[]
1925,BIOLOGY702,Succeeding Beyond Grad School: Career Options with a PhD in the Biological Sciences,[]
1926,BIOLOGY703,Professional Development for Careers in Biology ,[]
1927,BIOLOGY705S,Seminar in Teaching Biology,[]
1928,BIOLOGY706,Grant Writing,['NS']
1929,BIOLOGY711S,Ecology Seminar,[]
1930,BIOLOGY718S,"Developmental, Cellular, and Molecular Biology Seminar",[]
1931,BIOLOGY723,Statistical Computing for Biologists,[]
1932,BIOLOGY728,Genetic Approaches to the Solution of Biological Problems,[]
1933,BIOLOGY730,Evolutionary Mechanisms,[]
1934,BIOLOGY772LA,Biochemistry of Marine Animals,[]
1935,BIOLOGY773,Marine Ecology,[]
1936,BIOLOGY773LA,Marine Ecology,[]
1937,BIOLOGY777LA,Marine Invertebrate Zoology,[]
1938,BIOLOGY778LA,Physiology of Marine Animals,[]
1939,BIOLOGY784LA,Sound in the Sea: Introduction to Marine Bioacoustics,[]
1940,BIOLOGY790,Topics in Biology,[]
1941,BIOLOGY790S,Special Topics Seminar,[]
1942,BIOLOGY791T,Tutorial,[]
1943,BIOLOGY791TA,Tutorial,[]
1944,BIOLOGY792,Research,[]
1945,BIOLOGY792A,Research,[]
1946,BIOLOGY842,Ecological perspectives: Individuals to communities,[]
1947,CLST 089S,FIRST-YEAR SEMINAR: THE ANCIENT MIND,[]
1948,CLST 089S,FIRST-YEAR SEMINAR: IMPERIAL WOMEN,[]
1949,CLST 144,PRINCIPLES ARCHAEOLOGY,[]
1950,CLST 206,CLASSICS OF PAGE AND SCREEN,[]
1951,CLST 283,GREEK HISTORY,[]
1952,CLST 308,GREEK AND ROMAN LAW,[]
1953,CLST 344,EARLY GREEK ARCHAEOLOGY,[]
1954,CLST 364,ANCIENT SCIENCE AND TECHNOLOGY,[]
1955,GREEK 101,ELEMENTARY GREEK,[]
1956,LATIN 101,ELEMENTARY LATIN,[]
1957,LATIN 251,REFRESHER LATIN,[]
1958,CLST 089S,First-Year Seminar,[]
1959,CLST 141,Age of Warriors: Pre-Roman and Italian Archaeology,[]
1960,CLST 144,Principles of Archaeology,[]
1961,CLST 151,Classical Etymology: The Greek and Latin Roots of English,[]
1962,CLST 170FS,Liberty and Equality: Ancient and Modern Perspectives,[]
1963,CLST 171S,Birth of the West: Thinking about the Greek Origins of Western Civilization,[]
1964,CLST 181S,Greek Civilization,[]
1965,CLST 182S,Roman Civilization,[]
1966,CLST 204,Ancient and Medieval Epic,[]
1967,CLST 206,Classics of Page and Screen: Exploring the Iconic in Literature and Film,[]
1968,CLST 208,Ancient Myth,[]
1969,CLST 240L,Virtual Museums: Theories and Methods of 21st-Century Museums,[]
1970,CLST 241,"Etruscans: Myth, Archaeology and Civilization",[]
1971,CLST 243S,Representations of Women in the Classical World,[]
1972,CLST 246,Roman Archaeology: Origins to Empire,[]
1973,CLST 248,Art and Archaeology of Ancient Athens,[]
1974,CLST 250,The Art of Greece and Rome,[]
1975,CLST 262,Ancient Athletics,[]
1976,CLST 264,Greek and Roman Religion,[]
1977,CLST 266,Gender and Sexuality in the Ancient World,[]
1978,CLST 271,History of Ancient Philosophy,[]
1979,CLST 272A,The Birth of Reason in Ancient Greece,[]
1980,CLST 275,Democracy: Ancient and Modern,[]
1981,CLST 278,Roman Political Thought and Its Modern Legacy,[]
1982,CLST 283,Greek History,[]
1983,CLST 284,Roman History,[]
1984,CLST 290,Special Topics in Classical Studies,[]
1985,CLST 290A,Duke-Administered Study Abroad: Special Topics in Classical Studies,[]
1986,CLST 290SA,Duke-Administered Study Abroad: Special Topics in Classical Studies,[]
1987,CLST 291,Independent Study,[]
1988,CLST 293,Research Independent Study,[]
1989,CLST 299L,Introduction to Landscape Archaeology and Cultural Landscapes,[]
1990,CLST 304,Drama of Greece and Rome,[]
1991,CLST 308,Greek and Roman Law,[]
1992,CLST 312S,Ancient Greek Notions of Justice,[]
1993,CLST 316S,Self-Knowledge and the Pursuit of Wisdom,[]
1994,CLST 320A,Mediterranean Cultures (Study Abroad),[]
1995,CLST 340A,Rome: History of the City,[]
