,number,name,code
78,AAAS330,Film and the African Diaspora,"['ALP', 'CCI', 'SS']"
79,AAAS331,Black Popular Culture,"['CCI', 'CZ']"
80,AAAS332,Black Theater Workshop,"['ALP', 'CCI']"
81,AAAS333S,The Wire,"['CCI', 'EI', 'SS']"
82,AAAS334,Sampling Soul,"['ALP', 'CCI', 'EI', 'SS']"
83,AAAS335,The History of Hip-Hop,"['ALP', 'CCI']"
84,AAAS336,Michael Jackson and Performance of Blackness,"['ALP', 'CCI']"
85,AAAS337,Hollywood and Africa: Case Studies in Filmic Representation,"['ALP', 'CCI']"
86,AAAS338,Popular Representations of Black Masculinity,"['ALP', 'CCI']"
87,AAAS340,Culture and Politics in Africa,"['CCI', 'CZ', 'SS']"
88,AAAS341S,Race in Durham,"['CCI', 'R', 'SS']"
89,AAAS343,Displacements: Migration and Human Trafficking,"['ALP', 'CCI', 'EI', 'R', 'SS']"
90,AAAS344,"Troubling Pasts: Slavery, Genocide, and Terror","['ALP', 'CCI', 'EI', 'SS']"
91,AAAS345,"African Americans, Mass Incarceration and Citizenship","['ALP', 'CCI', 'CZ', 'EI', 'R']"
92,AAAS346S,Racial Justice in the 20th Century U.S. and South Africa,"['CCI', 'CZ', 'R', 'SS', 'W']"
93,AAAS350S,Law and Literature: Race Matters,"['CZ', 'SS']"
94,AAAS352,Pigging Out: The Cultural Politics of Food,"['CCI', 'EI', 'SS']"
95,AAAS372S,The Frontiers and Minorities of the Tsarist and Soviet Empires,"['CCI', 'CZ', 'EI', 'SS']"
96,AAAS385S,"Race, Gender and Culture of the African Diaspora","['CCI', 'CZ', 'SS']"
97,AAAS390,Special Topics,[]
98,AAAS390S,Special Topics,[]
99,AAAS391,Independent Study,[]
100,AAAS393,Research Independent Study,['R']
101,AAAS406S,Capstone Seminar: 20th-Century South Africa Through Biography and Autobiography,"['CCI', 'CZ', 'R', 'W']"
102,AAAS407S,Capstone Seminar: Globalization and Development: China and India,"['CCI', 'CZ', 'R', 'SS', 'STS']"
103,AAAS408S,"Capstone Seminar: Post-Civil Rights America: The Search for Social Justice, 1968-Present","['CZ', 'EI', 'R', 'W']"
104,AAAS409,Surviving Globalization: The Global South and the Development Imagination,"['CCI', 'EI', 'SS']"
105,AAAS409S,Capstone Seminar: The Age of Jim Crow: Racial Segregation from Plessy (1896) to Brown (1954),"['CZ', 'EI', 'R', 'W']"
106,AAAS410S,Francophone Literature,"['ALP', 'CCI', 'FL']"
107,AAAS420S,"The Role of Race and Culture on Development (C, D, S)","['CCI', 'EI', 'SS']"
108,AAAS421,Imagining Justice: The U.S. and the Carceral Imagination,"['ALP', 'CCI', 'CZ', 'EI']"
109,AAAS425S,"Cidanania, Cultura, e Participacao/Citizenship, Culture, and Participation","['ALP', 'CCI', 'CZ', 'EI', 'R']"
110,AAAS465S,Global Cities,"['CCI', 'EI', 'SS']"
111,AAAS475S,Variation in the African Diaspora,"['CCI', 'NS', 'SS', 'STS']"
112,AAAS490,Special Topics,[]
113,AAAS490S,Special Topics,[]
114,AAAS491,Independent Study,[]
115,AAAS493,Research Independent Study,['R']
116,AAAS495,Distinction Program Sequence,['R']
117,AAAS496,Distinction Program Sequence,[]
118,AAAS499S,Senior Seminar,[]
119,AAAS510S,Africa in a Global Age,"['CCI', 'EI', 'SS']"
120,AAAS515S,"Race, Class, and Gender: A Social History of Modern (1750-present) Britain","['CCI', 'CZ', 'EI', 'SS']"
121,AAAS520S,Harlem Renaissance,"['ALP', 'CCI', 'CZ', 'R']"
122,AAAS530S,Third Cinema,"['ALP', 'CCI', 'EI', 'SS', 'STS']"
123,AAAS531S,Black Camera: Still and Moving Images,"['ALP', 'CCI']"
124,AAAS540S,Seminar in Asian and Middle Eastern Cultural Studies,['CZ']
125,AAAS541S,Monuments and Memory: Public Policy and Remembrance of Racial Histories,"['ALP', 'CCI', 'EI', 'SS']"
126,AAAS544S,Race and American Politics,"['CCI', 'SS']"
127,AAAS545S,"Race, Racism, and Democracy","['CCI', 'SS', 'W']"
128,AAAS548S,"Poverty, Inequality, and Health","['EI', 'R', 'SS']"
129,AAAS549S,Schooling and Social Stratification,"['CCI', 'SS']"
130,AAAS551S,Race and Ethnicity,"['CCI', 'EI', 'SS']"
131,AAAS569,Understanding Sickle Cell Disease: A Biopsychosocial Approach,[]
132,AAAS575,"Justice, Law, and Commerce in Islam","['CZ', 'EI']"
133,AAAS580S,Race Theory: Biological Classification and Moral Implications,"['CZ', 'EI']"
134,AAAS589S,Black Visual Theory,"['ALP', 'CCI', 'CZ', 'EI', 'R']"
135,AAAS590S-5,Topics in African Art,[]
136,AAAS594S,Cultural (Con)Fusions of Asians and Africans,"['CCI', 'CZ', 'SS']"
137,AAAS610S,"Africa, Cuba, Brazil: Great Powers of the Black Atlantic","['CCI', 'CZ', 'SS']"
138,AAAS620S,AfroFuturism,['ALP']
139,AAAS621S,Black Performance Theory,"['ALP', 'CCI', 'R']"
140,AAAS622S,Black Sonic Culture—Analog to Digital,[]
141,AAAS640S,African Cities,"['CCI', 'SS']"
142,AAAS641S,Citizen and Subject in a Neoliberal Age,"['CCI', 'EI', 'SS']"
143,AAAS642S,Global Inequality Research Seminar,"['ALP', 'CCI', 'R', 'SS']"
144,AAAS643S,"Black Women, Black Freedom","['ALP', 'CCI', 'CZ', 'EI']"
145,AAAS645S,African Modernities,"['CCI', 'SS']"
146,AAAS660,Health in the African Diaspora,"['CCI', 'EI', 'SS', 'STS']"
147,AAAS690,Special Topics,[]
148,AAAS690S,Special Topics,[]
149,AAAS699S,Gateway/Proseminar,[]
150,AAAS740S,Racial and Ethnic Minorities in American Politics,[]
151,AAAS741S,Globalization,[]
152,AAAS780S,"Teaching Race, Teaching Gender",[]
153,AAAS890,Special Topics,[]
154,AAAS891,Special Readings,[]
155,AAAS225S,Documenting Black Experiences,"['ALP', 'CCI']"
156,AAAS240,The Modern Caribbean after Emancipation,"['CCI', 'CZ']"
157,AAAS261D,"Race, Genomics, and Society","['EI', 'NS', 'SS', 'STS']"
158,AAAS307,Development and Africa,"['CCI', 'CZ', 'SS']"
159,AAAS320,Black Dance,"['ALP', 'CCI', 'R', 'W']"
160,AAAS331,Black Popular Culture,"['CCI', 'CZ']"
161,AAAS343,Displacements: Migration and Human Trafficking,"['ALP', 'CCI', 'EI', 'R', 'SS']"
162,AAAS531S,Black Camera: Still and Moving Images,"['ALP', 'CCI']"
163,AAAS642S,Global Inequality Research Seminar,"['ALP', 'CCI', 'R', 'SS']"
164,AAAS780S,"Teaching Race, Teaching Gender",[]
165,AAAS780S,Leadership Laboratory,[]
166,AAAS780S,Heritage and Values of the United States Air Force,[]
167,AAAS780S,Foundations of the United States Air Force,[]
168,AAAS780S,The Evolution of US Air and Space Power,[]
169,AAAS780S,The Evolution of US Air and Space Power,[]
170,AAAS780S,Air Force Leadership & Management,[]
171,AAAS780S,Air Force Leadership & Management,[]
172,AAAS780S,Defense Studies,[]
173,AAAS780S,Defense Studies,[]
174,MILITSCI101S,Leadership and Personal Development,[]
175,MILITSCI150,Introduction to Tactical Leadership,[]
176,MILITSCI201,Innovative Team Leadership (Lecture),[]
177,MILITSCI291,Independent Study,[]
178,MLITISCI250,Foundations of Tactical Leadership,[]
179,MLITSCI291-1,Independent Study - Half Credit,[]
180,MILITSCI301,Small Unit Military Leadership (Lecture),[]
181,MILITSCI350,"Tactics, Techniques, and Procedures for Military Leaders",[]
182,MILITSCI401S,Developing Adaptive Military Leaders,[]
183,MILITSCI450S,Military Leadership in a Complex World,[]
184,MILITSCI91L,Leadership Laboratory - Fall Semester,[]
185,MILITSCI92L,Leadership Laboratory - Spring Semester,[]
186,ARTHIST89S,First-Year Seminar,[]
187,ARTSVIS21,"General Art, Studio",[]
188,ARTSVIS89S,First-Year Seminar,[]
189,VMS89S,First-Year Seminar,[]
190,ARTHIST 104.01,Exploring Art and Architecture,[]
191,ARTHIST101D,Introduction to the History of Art,[]
192,ARTHIST102D,Introduction to the History of Art,[]
193,ARTHIST121,Medieval Cultures,[]
194,ARTHIST152,Renaissance Cultures ,[]
195,ARTHIST185FS,The Languages of Art,[]
196,ARTHIST190A,Duke-Administered Study Abroad: Special Topics in Art History,[]
197,ARTHIST190FS,Topics in Art History,[]
198,ARTHIST190S,Special Topics in Art History,[]
199,ARTHIST197A," Visual Culture Outside the United States, I",[]
200,ARTHIST198A,"Visual Culture Outside the United States, II",[]
201,ARTSVIS102,Introduction to the Arts of the Moving Image,[]
202,ARTSVIS115S,Introduction to Photography,[]
203,ARTSVIS120,Compositional Painting,[]
204,VMS131,Experimental Drawing: Image and Bit Play,[]
